"dialogue_id","movie_title","movie_chapter","chapter_id","place_name","place_category","character_name","gender","house","species","dialogue","dialogue_no_spells"
6839,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","Next.","Next."
6831,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Hey. Easy.","Hey. Easy."
6884,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Look.","Look."
6899,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Griphook! Griphook!","Griphook! Griphook!"
6866,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","What the devil are you all doing down here!","What the devil are you all doing down here!"
6896,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","In here!","In here!"
6832,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","She gives us away and we might as well use that sword to slit our own throats. Understand?","She gives us away and we might as well use that sword to slit our own throats. Understand?"
6865,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","No.","No."
6895,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","The cup!","The cup!"
6856,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Madam, if you will, I will escort you myself.","Madam, if you will, I will escort you myself."
6908,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Come on!","Come on!"
